Restaurant Name,Rating,Cuisine,Cost for One,Delivery Time,Offers,Link
Puran Dhaba,4.3,North Indian,₹200 for one,41 min,10% OFF,https://www.zomato.com/ncr/puran-dhaba-ashok-vihar-new-delhi/order
Starbucks Coffee,4.3,"Cafe, Coffee, Fast Food, Bakery, Desserts, Beverages",₹400 for one,18 min,₹100 OFF,https://www.zomato.com/ncr/starbucks-coffee-1-connaught-place-new-delhi/order
Nizam's Kathi Kabab,4.3,"North Indian, Mughlai, Rolls, Biryani, Beverages",₹400 for one,28 min,Flat 10% OFF,https://www.zomato.com/ncr/nizams-kathi-kabab-connaught-place-new-delhi/order
Kings Kulfi,4.6,"Ice Cream, Desserts, Shake",₹100 for one,20 min,₹150 OFF,https://www.zomato.com/ncr/kings-kulfi-rajinder-nagar-new-delhi/order
Goila Butter Chicken,4.1,"North Indian, Biryani, Mughlai",₹300 for one,33 min,40% OFF,https://www.zomato.com/ncr/goila-butter-chicken-connaught-place-new-delhi/order
Civil Lines Social,4.2,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Korean, Beverages",₹600 for one,44 min,50% OFF,https://www.zomato.com/ncr/civil-lines-social-civil-lines-new-delhi/order
SGF - Spice Grill Flame,4.0,"Chinese, Continental, Pasta, Pizza, Burger",₹150 for one,32 min,50% OFF,https://www.zomato.com/ncr/sgf-spice-grill-flame-1-karol-bagh-new-delhi/order
Hulk's Burger,4.3,"Burger, Fast Food, American",₹200 for one,40 min,₹125 OFF,https://www.zomato.com/ncr/hulks-burger-karol-bagh-new-delhi/order
Champaran Meat House,4.0,"North Indian, Bihari",₹150 for one,32 min,No Offers,https://www.zomato.com/ncr/champaran-meat-house-laxmi-nagar-new-delhi/order
Hussaini Hotel,4.2,"Mughlai, North Indian, Rolls",₹150 for one,42 min,Flat 10% OFF,https://www.zomato.com/ncr/hussaini-hotel-nizamuddin-new-delhi/order
ZAZA Mughal Biryani,4.5,"Biryani, North Indian, Desserts",₹250 for one,23 min,₹200 OFF,https://www.zomato.com/ncr/zaza-mughal-biryani-karol-bagh-new-delhi/order
Bistro 57,4.3,"Pizza, Fast Food, Coffee, Shake, Beverages",₹200 for one,33 min,No Offers,https://www.zomato.com/ncr/bistro-57-karol-bagh-new-delhi/order
